country,region,year,planeDeaths
Afghanistan,Asia,1970,0
Algeria,Africa,1970,0
Angola,Africa,1970,0
Argentina,Americas,1970,0
Armenia,Europe,1970,0
Australia,Asia,1970,0
Austria,Europe,1970,0
Azerbaijan,Europe,1970,0
Bahrain,Asia,1970,0
Belgium,Europe,1970,0
Benin,Africa,1970,0
Bolivia,Americas,1970,0
Bosnia and Herzegovina,Europe,1970,0
Brazil,Americas,1970,0
Bulgaria,Europe,1970,0
Cambodia,Asia,1970,0
Cameroon,Africa,1970,0
Canada,Americas,1970,109
Cape Verde,Africa,1970,0
Central African Republic,Africa,1970,0
Chile,Americas,1970,0
China,Asia,1970,0
Colombia,Americas,1970,0
Comoros,Africa,1970,0
"Congo, Dem. Rep.",Africa,1970,0
"Congo, Rep.",Africa,1970,0
Costa Rica,Americas,1970,0
Cote d'Ivoire,Africa,1970,0
Croatia,Europe,1970,0
Cuba,Americas,1970,0
Denmark,Europe,1970,0
Dominica,Americas,1970,0
Dominican Republic,Americas,1970,0
Ecuador,Americas,1970,0
Egypt,Africa,1970,0
El Salvador,Americas,1970,0
Equatorial Guinea,Africa,1970,0
Ethiopia,Africa,1970,0
Fiji,Asia,1970,0
France,Europe,1970,0
Gabon,Africa,1970,0
Georgia,Europe,1970,0
Germany,Europe,1970,0
Greece,Europe,1970,0
Guatemala,Americas,1970,0
Haiti,Americas,1970,0
Honduras,Americas,1970,0
Hungary,Europe,1970,0
India,Asia,1970,0
Indonesia,Asia,1970,0
Iran,Asia,1970,0
Iraq,Asia,1970,0
Ireland,Europe,1970,0
Israel,Asia,1970,0
Italy,Europe,1970,0
Japan,Asia,1970,0
Jordan,Asia,1970,0
Kazakhstan,Asia,1970,0
Kenya,Africa,1970,0
Kyrgyz Republic,Asia,1970,0
Lao,Asia,1970,0
Libya,Africa,1970,0
Luxembourg,Europe,1970,0
"Macedonia, FYR",Europe,1970,0
Madagascar,Africa,1970,0
Malaysia,Asia,1970,0
Maldives,Asia,1970,0
Mali,Africa,1970,0
Mauritania,Africa,1970,0
Mauritius,Africa,1970,0
Mexico,Americas,1970,0
Mongolia,Asia,1970,0
Morocco,Africa,1970,0
Mozambique,Africa,1970,0
Myanmar,Asia,1970,0
Nepal,Asia,1970,0
Netherlands,Europe,1970,0
New Zealand,Asia,1970,0
Nicaragua,Americas,1970,0
Niger,Africa,1970,0
Nigeria,Africa,1970,0
North Korea,Asia,1970,0
Norway,Europe,1970,0
Pakistan,Asia,1970,0
Panama,Americas,1970,0
Papua New Guinea,Asia,1970,0
Paraguay,Americas,1970,0
Peru,Americas,1970,0
Philippines,Asia,1970,0
Poland,Europe,1970,0
Portugal,Europe,1970,0
Romania,Europe,1970,0
Russia,Europe,1970,0
Saudi Arabia,Asia,1970,0
Senegal,Africa,1970,0
Sierra Leone,Africa,1970,0
Somalia,Africa,1970,0
South Africa,Africa,1970,0
South Korea,Asia,1970,0
Spain,Europe,1970,0
Sri Lanka,Asia,1970,0
Sudan,Africa,1970,0
Suriname,Americas,1970,0
Sweden,Europe,1970,0
Switzerland,Europe,1970,0
Tajikistan,Asia,1970,0
Tanzania,Africa,1970,0
Thailand,Asia,1970,0
Tunisia,Africa,1970,0
Turkey,Europe,1970,0
Ukraine,Europe,1970,0
United Arab Emirates,Asia,1970,0
United Kingdom,Europe,1970,0
United States,Americas,1970,0
Uruguay,Americas,1970,0
Uzbekistan,Asia,1970,0
Venezuela,Americas,1970,0
Vietnam,Asia,1970,0
Yemen,Asia,1970,0
Zambia,Africa,1970,0
Afghanistan,Asia,1971,0
Algeria,Africa,1971,0
Angola,Africa,1971,0
Argentina,Americas,1971,0
Armenia,Europe,1971,0
Australia,Asia,1971,0
Austria,Europe,1971,0
Azerbaijan,Europe,1971,0
Bahrain,Asia,1971,0
Belgium,Europe,1971,61
Benin,Africa,1971,0
Bolivia,Americas,1971,0
Bosnia and Herzegovina,Europe,1971,0
Brazil,Americas,1971,0
Bulgaria,Europe,1971,0
Cambodia,Asia,1971,0
Cameroon,Africa,1971,0
